Time(s),Filtered_ECG(mV),R_Peak
-20.0239,-1.948042,0
-20.0129,-1.643935,0
-20.0129,-0.781236,0
-20.0119,0.177375,0
-20.0080,0.777821,0
-20.0041,0.853871,0
-20.0009,0.586281,0
-19.9969,0.320414,0
-19.9929,0.297346,0
-19.9879,0.502396,0
-19.9849,0.727138,0
-19.9799,0.769596,0
-19.9769,0.599625,0
-19.9719,0.362712,0
-19.9689,0.237406,0
-19.9639,0.278551,0
-19.9609,0.378211,0
-19.9559,0.368003,0
-19.9529,0.166987,0
-19.9479,-0.152133,0
-19.9439,-0.428858,0
-19.9399,-0.549036,0
-19.9299,-0.530043,0
-19.9279,-0.488672,0
-19.9269,-0.527445,0
-19.9239,-0.643160,0
-19.9199,-0.736860,0
-19.9159,-0.712254,0
-19.9119,-0.571855,0
-19.9083,-0.423582,0
-19.9039,-0.390479,0
-19.9006,-0.501833,0
-19.8962,-0.661269,0
-19.8922,-0.721998,0
-19.8882,-0.607978,0
-19.8842,-0.380206,0
-19.8802,-0.192740,0
-19.8762,-0.174176,0
-19.8722,-0.330714,0
-19.8678,-0.547244,0
-19.8638,-0.681451,0
-19.8543,-0.671594,0
-19.8533,-0.571728,0
-19.8523,-0.491552,0
-19.8481,-0.496710,0
-19.8441,-0.554335,0
-19.8401,-0.566753,0
-19.8361,-0.461437,0
-19.8321,-0.260248,0
-19.8281,-0.070882,0
-19.8241,-0.008536,0
-19.8201,-0.111086,0
-19.8161,-0.312976,0
-19.8121,-0.493775,0
-19.8086,-0.559812,0
-19.8046,-0.497125,0
-19.7996,-0.362871,0
-19.7966,-0.232231,0
-19.7926,-0.147299,0
-19.7886,-0.103705,0
-19.7769,-0.074570,0
-19.7759,-0.042754,0
-19.7759,-0.013040,0
-19.7719,0.000276,0
-19.7684,-0.007810,0
-19.7644,-0.027833,0
-19.7596,-0.047306,0
-19.7556,-0.064469,0
-19.7516,-0.088991,0
-19.7476,-0.129136,0
-19.7436,-0.179576,0
-19.7396,-0.223813,0
-19.7356,-0.250143,0
-19.7322,-0.265265,0
-19.7282,-0.289968,0
-19.7242,-0.337690,0
-19.7202,-0.394326,0
-19.7162,-0.419752,0
-19.7122,-0.374575,0
-19.7075,-0.253339,0
-19.6961,-0.097184,0
-19.6951,0.027068,0
-19.6941,0.068526,0
-19.6921,0.024535,0
-19.6881,-0.060458,0
-19.6841,-0.128837,0
-19.6801,-0.151137,0
-19.6759,-0.143668,0
-19.6719,-0.149257,0
-19.6679,-0.195992,0
-19.6636,-0.266226,0
-19.6595,-0.301698,0
-19.6563,-0.244633,0
-19.6520,-0.087082,0
-19.6479,0.108563,0
-19.6435,0.238270,0
-19.6395,0.221487,0
-19.6355,0.061735,0
-19.6315,-0.141191,0
-19.6275,-0.243744,0
-19.6235,-0.149154,0
-19.6195,0.121433,0
-19.6154,0.429344,0
-19.6123,0.599482,0
-19.6023,0.535460,0
-19.6023,0.291741,0
-19.6003,0.046621,0
-19.5953,-0.015851,0
-19.5923,0.159558,0
-19.5883,0.443120,0
-19.5843,0.591028,0
-19.5793,0.405695,0
-19.5753,-0.119259,0
-19.5713,-0.771378,0
-19.5673,-1.235431,0
-19.5633,-1.281176,0
-19.5603,-0.899697,0
-19.5553,-0.299432,0
-19.5513,0.230580,0
-19.5473,0.493332,0
-19.5433,0.477279,0
-19.5393,0.319270,0
-19.5353,0.181341,0
-19.5250,0.140914,0
-19.5250,0.170030,0
-19.5240,0.200257,0
-19.5200,0.201825,0
-19.5160,0.202684,0
-19.5116,0.234712,0
-19.5081,0.265838,0
-19.5041,0.195653,0
-19.5001,-0.060627,0
-19.4961,-0.457471,0
-19.4921,-0.774068,0
-19.4881,-0.701798,0
-19.4841,-0.030962,0
-19.4801,1.179653,0
-19.4760,2.572058,0
-19.4720,3.636417,0
-19.4680,3.960416,0
-19.4640,3.435929,0
-19.4590,2.303174,0
-19.4490,1.012842,0
-19.4480,-0.005562,0
-19.4480,-0.534473,0
-19.4440,-0.621675,0
-19.4400,-0.490122,0
-19.4360,-0.378812,0
-19.4316,-0.414067,0
-19.4276,-0.574198,0
-19.4236,-0.745561,0
-19.4196,-0.817616,0
-19.4156,-0.754315,0
-19.4116,-0.605836,0
-19.4081,-0.465408,0
-19.4031,-0.405720,0
-19.4000,-0.434984,0
-19.3950,-0.496032,0
-19.3920,-0.505253,0
-19.3880,-0.406306,0
-19.3840,-0.207034,0
-19.3796,0.020928,0
-19.3696,0.178391,0
-19.3696,0.189100,0
-19.3676,0.036165,0
-19.3636,-0.233547,0
-19.3596,-0.535289,0
-19.3556,-0.784713,0
-19.3516,-0.928110,0
-19.3476,-0.954161,0
-19.3436,-0.889523,0
-19.3396,-0.786189,0
-19.3351,-0.705391,0
-19.3311,-0.698058,0
-19.3271,-0.783388,0
-19.3231,-0.934629,0
-19.3199,-1.085410,0
-19.3154,-1.161822,0
-19.3114,-1.126732,0
-19.3069,-1.007792,0
-19.3029,-0.885095,0
-19.2927,-0.840280,0
-19.2916,-0.899138,0
-19.2916,-1.009740,0
-19.2876,-1.076006,0
-19.2836,-1.025945,0
-19.2794,-0.865224,0
-19.2754,-0.674453,0
-19.2718,-0.549610,0
-19.2675,-0.528997,0
-19.2635,-0.562267,0
-19.2595,-0.546306,0
-19.2550,-0.401736,0
-19.2515,-0.132243,0
-19.2478,0.178081,0
-19.2438,0.426439,0
-19.2394,0.564125,0
-19.2360,0.625373,0
-19.2316,0.692960,0
-19.2246,0.830634,0
-19.2141,1.036193,0
-19.2141,1.249519,0
-19.2131,1.404492,0
-19.2115,1.480059,0
-19.2072,1.509978,0
-19.2032,1.547410,0
-19.1992,1.617645,0
-19.1952,1.699418,0
-19.1912,1.748227,0
-19.1872,1.738333,0
-19.1832,1.685202,0
-19.1792,1.628869,0
-19.1752,1.593733,0
-19.1712,1.561192,0
