Time(s),Filtered_ECG(mV),R_Peak
-20.0239,-8.851167,0
-20.0129,-4.500608,0
-20.0129,6.315715,0
-20.0119,8.433570,0
-20.0080,-0.802662,0
-20.0041,-8.145932,0
-20.0009,-3.575382,0
-19.9969,7.144149,0
-19.9929,8.765940,0
-19.9879,-0.530675,0
-19.9849,-8.029758,0
-19.9799,-3.660924,0
-19.9769,6.974546,0
-19.9719,8.577789,0
-19.9689,-0.991262,0
-19.9639,-8.305101,0
-19.9609,-3.859322,0
-19.9559,6.707173,0
-19.9529,8.126263,0
-19.9479,-1.660617,0
-19.9439,-9.274054,0
-19.9399,-4.740225,0
-19.9299,5.995523,0
-19.9279,7.443458,0
-19.9269,-2.288574,0
-19.9239,-9.660646,0
-19.9199,-5.065344,0
-19.9159,5.756567,0
-19.9119,7.309489,0
-19.9083,-2.187474,0
-19.9039,-9.446397,0
-19.9006,-4.971541,0
-19.8962,5.679180,0
-19.8922,7.032841,0
-19.8882,-2.512524,0
-19.8842,-9.470672,0
-19.8802,-4.525507,0
-19.8762,6.105358,0
-19.8722,7.192314,0
-19.8678,-2.630414,0
-19.8638,-9.867659,0
-19.8543,-4.896050,0
-19.8533,5.690040,0
-19.8523,6.928260,0
-19.8481,-2.629080,0
-19.8441,-9.869695,0
-19.8401,-4.962683,0
-19.8361,5.883305,0
-19.8321,7.177920,0
-19.8281,-2.375804,0
-19.8241,-9.285307,0
-19.8201,-4.474821,0
-19.8161,5.869635,0
-19.8121,6.812735,0
-19.8086,-2.843677,0
-19.8046,-9.819311,0
-19.7996,-4.617022,0
-19.7966,6.059994,0
-19.7926,6.922434,0
-19.7886,-2.619475,0
-19.7769,-9.376228,0
-19.7759,-4.095021,0
-19.7759,6.343996,0
-19.7719,7.035875,0
-19.7684,-2.686142,0
-19.7644,-9.371499,0
-19.7596,-4.212774,0
-19.7556,6.422683,0
-19.7516,7.089523,0
-19.7476,-2.719900,0
-19.7436,-9.669022,0
-19.7396,-4.602956,0
-19.7356,6.240114,0
-19.7322,7.142352,0
-19.7282,-2.784292,0
-19.7242,-9.918559,0
-19.7202,-4.742928,0
-19.7162,6.068268,0
-19.7122,6.911891,0
-19.7075,-2.782694,0
-19.6961,-9.434932,0
-19.6951,-4.164180,0
-19.6941,6.525606,0
-19.6921,7.126515,0
-19.6881,-2.698698,0
-19.6841,-9.325708,0
-19.6801,-4.074576,0
-19.6759,6.392879,0
-19.6719,6.789811,0
-19.6679,-2.900378,0
-19.6636,-9.437715,0
-19.6595,-4.094477,0
-19.6563,6.413126,0
-19.6520,6.924159,0
-19.6479,-2.698111,0
-19.6435,-8.959952,0
-19.6395,-3.464400,0
-19.6355,6.755343,0
-19.6315,6.986353,0
-19.6275,-3.053697,0
-19.6235,-9.371826,0
-19.6195,-3.508333,0
-19.6154,7.214267,0
-19.6123,7.669759,0
-19.6023,-2.151426,0
-19.6023,-8.883989,0
-19.6003,-3.629309,0
-19.5953,6.843116,0
-19.5923,7.324084,0
-19.5883,-2.298535,0
-19.5843,-8.546184,0
-19.5793,-3.162219,0
-19.5753,6.802083,0
-19.5713,6.332547,0
-19.5673,-3.955203,0
-19.5633,-10.379570,0
-19.5603,-4.371433,0
-19.5553,6.753498,0
-19.5513,7.285903,0
-19.5473,-2.390914,0
-19.5433,-8.483358,0
-19.5393,-3.013066,0
-19.5353,7.284565,0
-19.5250,7.221368,0
-19.5250,-2.746565,0
-19.5240,-8.887814,0
-19.5200,-2.982886,0
-19.5160,7.421480,0
-19.5116,7.376170,0
-19.5081,-2.610970,0
-19.5041,-9.007218,0
-19.5001,-3.272395,0
-19.4961,6.863602,0
-19.4921,6.455412,0
-19.4881,-3.552439,0
-19.4841,-9.091061,0
-19.4801,-2.123590,0
-19.4760,9.763768,0
-19.4720,10.945268,0
-19.4680,1.225428,0
-19.4640,-5.572750,0
-19.4590,-0.847637,0
-19.4490,8.199469,0
-19.4480,7.067427,0
-19.4480,-3.366041,0
-19.4440,-9.317346,0
-19.4400,-3.441246,0
-19.4360,6.781765,0
-19.4316,6.523170,0
-19.4276,-3.433167,0
-19.4236,-9.514248,0
-19.4196,-3.637462,0
-19.4156,6.682066,0
-19.4116,6.404885,0
-19.4081,-3.524853,0
-19.4031,-9.358627,0
-19.4000,-3.078520,0
-19.3950,7.102850,0
-19.3920,6.540952,0
-19.3880,-3.468449,0
-19.3840,-9.054013,0
-19.3796,-2.773010,0
-19.3696,7.770697,0
-19.3696,7.343807,0
-19.3676,-2.919327,0
-19.3636,-9.083969,0
-19.3596,-3.199468,0
-19.3556,6.806527,0
-19.3516,6.088604,0
-19.3476,-3.974802,0
-19.3436,-9.576230,0
-19.3396,-3.176641,0
-19.3351,6.907194,0
-19.3311,6.169023,0
-19.3271,-3.952087,0
-19.3231,-9.492329,0
-19.3199,-3.376122,0
-19.3154,6.610769,0
-19.3114,5.820833,0
-19.3069,-4.262746,0
-19.3029,-9.639545,0
-19.2927,-3.012876,0
-19.2916,7.048322,0
-19.2916,5.966349,0
-19.2876,-4.262954,0
-19.2836,-9.741366,0
-19.2794,-3.209192,0
-19.2754,7.293924,0
-19.2718,6.567782,0
-19.2675,-3.629918,0
-19.2635,-9.283140,0
-19.2595,-2.843173,0
-19.2550,7.588357,0
-19.2515,6.926063,0
-19.2478,-3.060607,0
-19.2438,-8.127807,0
-19.2394,-1.430025,0
-19.2360,8.544337,0
-19.2316,7.528881,0
-19.2246,-2.434455,0
-19.2141,-7.409619,0
-19.2141,-0.609652,0
-19.2131,9.356142,0
-19.2115,8.271546,0
-19.2072,-1.743976,0
-19.2032,-6.963847,0
-19.1992,-0.361838,0
-19.1952,9.885195,0
-19.1912,8.674341,0
